time,cash rate target,FX market,FX liquidity,SWIFT payments,unemployment rate,balance of goods,lag 1 growth rate,lag 2 growth rate,lag 3 growth rate,lag 4 growth rate,lag 5 growth rate,Composite BCI,Composite CCI,Industrial retail turnover,USD index,AUD to CNY,AUD to USD,inflation rate original,real GDP growth rate,export index,real GDP gowth rate times BCI,aud cyn times unemplopyement rate,
1999/3/31,4.75,0,97.9586,12565.57,7.011665,-1271,0,0,0,0,0,99.93,101.6,10800.1,97.9586,5.215896,0.630004,0.4,0.009591,103.5662,0.95842863,36.57211543,
1999/4/30,4.75,146,97.9107,13131.6,6.978498,-1628,0,0,0,0,0,100.18,101.58,10870,97.9107,5.32135,0.642735,0,0.002397,105.5187,0.24013146,37.13503033,
1999/5/31,4.75,431,98.9952,13137.9,7.024015,-1368,0,0,0,0,0,100.38,101.49,10898,98.9952,5.476605,0.661541,0,0.002397,105.5187,0.24061086,38.46775567,
1999/6/30,4.75,765,99.5093,14019.86,6.652633,-1263,0,0,0,0,0,100.41,101.3,10907.7,99.5093,5.428241,0.655741,0,0.002397,105.5187,0.24068277,36.11209521,
1999/7/31,4.75,165,97.4715,13669.86,6.674255,-1002,0,0,0,0,0,100.34,101.18,10890.1,97.4715,5.442757,0.657522,0.4,0.014097,110.4774,1.41449298,36.32634812,
1999/8/31,4.75,56,96.6989,12966.23,6.904678,-1234,0,0,0,0,0,100.3,101.12,11093.5,96.6989,5.336036,0.644664,0.4,0.014097,110.4774,1.4139291,36.84361038,
1999/9/30,4.75,503,95.2235,13121.73,7.0403,-1801,0,0,0,0,0,100.36,101.2,11194.9,95.2235,5.373226,0.649139,0.4,0.014097,110.4774,1.41477492,37.82912301,
1999/10/31,4.75,267,95.2186,13185.43,6.775405,-908,0,0,0,0,0,100.49,101.26,11166.7,95.2186,5.389733,0.651133,0.9,0.020825,109.4176,2.09270425,36.51762392,
1999/11/30,4.977273,90,96.4454,12813.36,6.439154,-1227,0.047846947,0.047846947,0,0.047846947,0.047846947,100.63,101.21,11248.7,96.4454,5.292365,0.639452,0.9,0.020825,109.4176,2.09561975,34.07835326,
1999/12/31,5,121,95.8081,13333.19,6.683538,-920,0.004566155,0.052631579,0.047846947,0.052631579,0.052631579,100.75,101.04,11201.2,95.8081,5.304905,0.640741,0.9,0.020825,109.4176,2.09811875,35.45553415,
2000/1/31,5,342,98.1875,12986.58,6.765944,-1194,0,0.004566155,0.052631579,0.052631579,0.052631579,100.81,100.91,11142.5,98.1875,5.43904,0.656945,0.6,0.010667,106.4931,1.07534027,36.80024005,
